Puzzle,Algorithm,Solved,NodesExpanded,SolutionLength,TimeMs
ABCDEFG#IJKHMNOL,BFS,1,6,2,0.007000
ABCDEFG#IJKHMNOL,A*-h1,1,3,2,0.008000
ABCDEFG#IJKHMNOL,A*-h2,1,3,2,0.003000
ABCDEFGHIJ#LMNKO,BFS,1,10,2,0.010000
ABCDEFGHIJ#LMNKO,A*-h1,1,3,2,0.004000
ABCDEFGHIJ#LMNKO,A*-h2,1,3,2,0.003000
ABCDEFGHIJKLM#NO,BFS,1,10,2,0.009000
ABCDEFGHIJKLM#NO,A*-h1,1,3,2,0.003000
ABCDEFGHIJKLM#NO,A*-h2,1,3,2,0.002000
ABCDEFG#IJKHMNOL,BFS,1,6,2,0.005000
ABCDEFG#IJKHMNOL,A*-h1,1,3,2,0.002000
ABCDEFG#IJKHMNOL,A*-h2,1,3,2,0.002000
ABCDEFGHIJ#KMNOL,BFS,1,15,2,0.014000
ABCDEFGHIJ#KMNOL,A*-h1,1,3,2,0.003000
ABCDEFGHIJ#KMNOL,A*-h2,1,3,2,0.003000
ABCDEFGHIJKLM#NO,BFS,1,10,2,0.007000
ABCDEFGHIJKLM#NO,A*-h1,1,3,2,0.002000
ABCDEFGHIJKLM#NO,A*-h2,1,3,2,0.003000
ABCDEFGHIJ#LMNKO,BFS,1,10,2,0.009000
ABCDEFGHIJ#LMNKO,A*-h1,1,3,2,0.003000
ABCDEFGHIJ#LMNKO,A*-h2,1,3,2,0.003000
ABCDEFGHIJKLM#NO,BFS,1,10,2,0.006000
ABCDEFGHIJKLM#NO,A*-h1,1,3,2,0.002000
ABCDEFGHIJKLM#NO,A*-h2,1,3,2,0.002000
ABCDEFG#IJKHMNOL,BFS,1,6,2,0.003000
ABCDEFG#IJKHMNOL,A*-h1,1,3,2,0.002000
ABCDEFG#IJKHMNOL,A*-h2,1,3,2,0.002000
ABCDEFGHIJ#KMNOL,BFS,1,15,2,0.011000
ABCDEFGHIJ#KMNOL,A*-h1,1,3,2,0.003000
ABCDEFGHIJ#KMNOL,A*-h2,1,3,2,0.003000
AB#CEFGDIJKHMNOL,BFS,1,52,4,0.065000
AB#CEFGDIJKHMNOL,A*-h1,1,5,4,0.005000
AB#CEFGDIJKHMNOL,A*-h2,1,5,4,0.004000
AB#CEFGDIJKHMNOL,BFS,1,52,4,0.047000
AB#CEFGDIJKHMNOL,A*-h1,1,5,4,0.004000
AB#CEFGDIJKHMNOL,A*-h2,1,5,4,0.004000
AB#DEFCGIJKHMNOL,BFS,1,40,4,0.036000
AB#DEFCGIJKHMNOL,A*-h1,1,5,4,0.006000
AB#DEFCGIJKHMNOL,A*-h2,1,5,4,0.005000
ABCDEFGHINJLM#KO,BFS,1,39,4,0.037000
ABCDEFGHINJLM#KO,A*-h1,1,5,4,0.006000
ABCDEFGHINJLM#KO,A*-h2,1,5,4,0.006000
ABCDEFGHIJLOMNK#,BFS,1,26,4,0.026000
ABCDEFGHIJLOMNK#,A*-h1,1,5,4,0.009000
ABCDEFGHIJLOMNK#,A*-h2,1,5,4,0.009000
ABCDEFGHIJOKMNL#,BFS,1,37,4,0.047000
ABCDEFGHIJOKMNL#,A*-h1,1,6,4,0.010000
ABCDEFGHIJOKMNL#,A*-h2,1,5,4,0.008000
ABCDE#GHIFKLMJNO,BFS,1,44,4,0.056000
ABCDE#GHIFKLMJNO,A*-h1,1,5,4,0.010000
ABCDE#GHIFKLMJNO,A*-h2,1,5,4,0.009000
AB#DEFCGIJKHMNOL,BFS,1,40,4,0.053000
AB#DEFCGIJKHMNOL,A*-h1,1,5,4,0.009000
AB#DEFCGIJKHMNOL,A*-h2,1,5,4,0.008000
ABCDEFGH#JKLIMNO,BFS,1,39,4,0.050000
ABCDEFGH#JKLIMNO,A*-h1,1,5,4,0.007000
ABCDEFGH#JKLIMNO,A*-h2,1,5,4,0.007000
ABCDEFGH#IKLMJNO,BFS,1,49,4,0.063000
ABCDEFGH#IKLMJNO,A*-h1,1,5,4,0.008000
ABCDEFGH#IKLMJNO,A*-h2,1,5,4,0.010000
#AGCEBFDIJKHMNOL,BFS,1,730,8,1.170000
#AGCEBFDIJKHMNOL,A*-h1,1,9,8,0.015000
#AGCEBFDIJKHMNOL,A*-h2,1,9,8,0.011000
AFBCE#HDIJGKMNOL,BFS,1,832,8,1.065000
AFBCE#HDIJGKMNOL,A*-h1,1,9,8,0.015000
AFBCE#HDIJGKMNOL,A*-h2,1,9,8,0.019000
EABCIFGD#JKHMNOL,BFS,1,585,8,0.674000
EABCIFGD#JKHMNOL,A*-h1,1,9,8,0.011000
EABCIFGD#JKHMNOL,A*-h2,1,9,8,0.009000
ABCDEFGH#MKLJINO,BFS,1,763,8,0.890000
ABCDEFGH#MKLJINO,A*-h1,1,16,8,0.022000
ABCDEFGH#MKLJINO,A*-h2,1,9,8,0.011000
ABCDEFL#IJHGMNKO,BFS,1,743,8,0.927000
ABCDEFL#IJHGMNKO,A*-h1,1,21,8,0.071000
ABCDEFL#IJHGMNKO,A*-h2,1,9,8,0.014000
ABCDE#GHMFJKNIOL,BFS,1,865,8,1.165000
ABCDE#GHMFJKNIOL,A*-h1,1,12,8,0.021000
ABCDE#GHMFJKNIOL,A*-h2,1,9,8,0.014000
ABCDFGKHEI#LMJNO,BFS,1,877,8,1.092000
ABCDFGKHEI#LMJNO,A*-h1,1,9,8,0.015000
ABCDFGKHEI#LMJNO,A*-h2,1,9,8,0.013000
ABCDEFGHMIJLNKO#,BFS,1,858,8,1.442000
ABCDEFGHMIJLNKO#,A*-h1,1,12,8,0.029000
ABCDEFGHMIJLNKO#,A*-h2,1,10,8,0.023000
EACDB#GHIFKLMJNO,BFS,1,1093,8,1.681000
EACDB#GHIFKLMJNO,A*-h1,1,13,8,0.021000
EACDB#GHIFKLMJNO,A*-h2,1,13,8,0.018000
AFBCIEGD#JKHMNOL,BFS,1,617,8,0.957000
AFBCIEGD#JKHMNOL,A*-h1,1,9,8,0.017000
AFBCIEGD#JKHMNOL,A*-h2,1,9,8,0.015000
ABDHEFGCIJ#LMNKO,BFS,1,886,8,1.498000
ABDHEFGCIJ#LMNKO,A*-h1,1,21,8,0.085000
ABDHEFGCIJ#LMNKO,A*-h2,1,15,8,0.024000
FBDHAEC#IJGKMNOL,BFS,1,11575,12,20.916000
FBDHAEC#IJGKMNOL,A*-h1,1,45,12,0.131000
FBDHAEC#IJGKMNOL,A*-h2,1,23,12,0.041000
ABCDEGOHIJFLM#KN,BFS,1,56746,14,132.038000
ABCDEGOHIJFLM#KN,A*-h1,1,311,14,0.555000
ABCDEGOHIJFLM#KN,A*-h2,1,61,14,0.119000
EC#DBAJHIGFLMNKO,BFS,1,61381,14,105.173000
EC#DBAJHIGFLMNKO,A*-h1,1,81,14,0.169000
EC#DBAJHIGFLMNKO,A*-h2,1,19,14,0.035000
BGDHACF#ENJLIMKO,BFS,1,177669,16,441.589000
BGDHACF#ENJLIMKO,A*-h1,1,42,16,71.258000
BGDHACF#ENJLIMKO,A*-h2,1,17,16,0.028000
BCGDAFJH#EKLINMO,BFS,1,267216,16,653.276000
BCGDAFJH#EKLINMO,A*-h1,1,306,16,0.544000
BCGDAFJH#EKLINMO,A*-h2,1,59,16,0.117000
BCDHAFGOEJLKIMN#,BFS,1,129438,16,273.383000
BCDHAFGOEJLKIMN#,A*-h1,1,41,16,0.073000
BCDHAFGOEJLKIMN#,A*-h2,1,17,16,0.021000
AFBGEJKC#NHDIMOL,BFS,1,206195,16,432.788000
AFBGEJKC#NHDIMOL,A*-h1,1,101,16,0.231000
AFBGEJKC#NHDIMOL,A*-h2,1,18,16,0.029000
EB#CFJGDAIKHMNOL,BFS,1,264357,16,622.016000
EB#CFJGDAIKHMNOL,A*-h1,1,280,16,0.498000
EB#CFJGDAIKHMNOL,A*-h2,1,149,16,0.281000
FCGDBAKH#EJLIMNO,BFS,1,277922,16,799.339000
FCGDBAKH#EJLIMNO,A*-h1,1,147,16,0.246000
FCGDBAKH#EJLIMNO,A*-h2,1,21,16,0.036000
BGFCAJLDENKHI#MO,BFS,0,500001,16,1417.000000
BGFCAJLDENKHI#MO,A*-h1,1,860,20,228.484000
BGFCAJLDENKHI#MO,A*-h2,1,109,20,0.246000
AFCGIEBD#NKHJMOL,BFS,0,500001,16,1386.000000
AFCGIEBD#NKHJMOL,A*-h1,1,6099,22,13.315000
AFCGIEBD#NKHJMOL,A*-h2,1,560,22,1.079000
